,TIPLOC,TOC_New_x,TOC_New_y
1043,HAMLTNW,SR (100.0%),SR (67.35%); ZZ (32.65%)
1044,HAMPTON,SW (100.0%),
1045,HAMSTED,LM (100.0%),AW (7.14%); LM (57.14%); VT (25.0%); XC (10.71%)
1046,HAMTSQ,ME (100.0%),ME (100.0%)
1047,HAMWICK,SW (100.0%),
1048,HANDBRO,GW (100.0%),
1049,HANWELL,XR (100.0%),GW (58.62%); HX (19.68%); WR (2.03%); XR (15.21%); ZZ (4.46%)
1050,HAPTON,NT (100.0%),
1051,HARLSDN,LO (30.65%); LT (69.35%),LO (4.41%); LT (95.59%)
1052,HARMYRS,SR (100.0%),
1053,HAROOTH,CH (100.0%),CH (100.0%)
1054,HARTFD,LM (100.0%),
1055,HASLEMR,SW (100.0%),SW (79.1%); XC (20.9%)
1056,HASOCKS,GX (4.89%); SN (40.54%); TL (54.57%),GX (17.65%); SN (35.29%); TL (47.06%)
1057,HASTING,SE (0.88%); SN (99.12%),SE (92.31%); SN (7.69%)
1058,HATFILD,GN (52.57%); TL (47.43%),CS (0.61%); GN (27.91%); GR (22.39%); HT (0.61%); LD (2.45%); TL (45.4%); ZZ (0.61%)
1059,HATHRSG,EM (5.11%); NT (94.89%),
1060,HATRSLY,NT (100.0%),
1061,HATTON,CH (86.98%); LM (13.02%),CH (88.27%); LM (6.39%); XC (5.34%)
1062,HAVANT,SN (62.77%); SW (37.23%),SN (57.78%); SW (14.81%); XC (24.44%); ZZ (2.96%)
1063,HAVENHS,EM (100.0%),
1064,HAVRFDW,AW (100.0%),
1065,HAWARDN,AW (100.0%),
1066,HAWDNBG,AW (100.0%),
1067,HAYESAH,GW (20.45%); XR (79.55%),GW (52.4%); HX (33.58%); LS (0.37%); XR (5.54%); ZZ (8.12%)
1068,HAYLE,GW (98.5%); XC (1.5%),GW (100.0%)
1069,HAYMRKT,GR (3.57%); SR (87.38%); TP (3.73%); VT (3.31%); XC (2.01%),CS (30.91%); GR (5.89%); SR (41.64%); TP (4.1%); VT (3.58%); WR (0.42%); XC (6.52%); ZZ (6.94%)
1070,HAZL,EM (2.09%); NT (97.91%),EM (46.84%); NT (3.25%); TP (49.91%)
1071,HBDNBDG,NT (100.0%),NT (1.61%); TP (97.19%); WR (1.2%)
1072,HBRN,SE (100.0%),SE (100.0%)
1073,HBROOMS,SE (100.0%),SE (100.0%)
1074,HBRTBDG,EM (100.0%),EM (100.0%)
1075,HBRY,LM (100.0%),LM (91.64%); LS (0.7%); XC (7.67%)
1076,HCHP,NT (100.0%),AW (42.37%); NT (10.17%); VT (38.98%); XC (6.78%); ZZ (1.69%)
1077,HCKNGTN,EM (100.0%),
1078,HDNS,LM (100.0%),LM (100.0%)
1079,HDON,TL (100.0%),EM (44.83%); TL (54.72%); ZZ (0.45%)
1080,HDRSFLD,TP (100.0%),TP (80.0%); WR (20.0%)
1081,HEADCRN,SE (100.0%),SE (88.52%); ZZ (11.48%)
1082,HEALING,EM (100.0%),EM (42.11%); TP (57.89%)
1083,HEATHHL,AW (100.0%),AW (100.0%)
1084,HEATHLL,AW (100.0%),AW (100.0%)
1085,HEDGEND,GW (1.77%); SW (98.23%),XC (100.0%)
1086,HEDNGLY,NT (100.0%),
1087,HEDSTNL,LO (100.0%),LO (100.0%)
1088,HELIFLD,NT (100.0%),LS (9.52%); NT (42.86%); WR (47.62%)
1089,HELMSDL,SR (100.0%),
1090,HELSBY,AW (87.01%); NT (12.99%),AW (11.41%); NT (88.59%)
1091,HEMLHMP,LM (100.0%),CS (9.62%); LM (14.9%); VT (75.48%)
1092,HEMSWTH,NT (100.0%),GR (100.0%)
1093,HENGOED,AW (100.0%),
1094,HENLYIA,LM (97.27%); TY (2.73%),LM (94.05%); TY (5.95%)
1095,HENSALL,NT (100.0%),NT (100.0%)
1096,HEREFRD,AW (100.0%),AW (100.0%)
1097,HERNEH,SE (47.02%); TL (52.98%),SE (84.58%); SN (3.55%); TL (10.39%); WR (0.11%); ZZ (1.38%)
1098,HERSHAM,SW (100.0%),SW (100.0%)
1099,HERTFDE,LE (100.0%),
1100,HESSLE,NT (100.0%),GR (14.06%); HT (3.12%); NT (50.0%); TP (32.81%)
1101,HESWALL,AW (100.0%),
1102,HEVER,SN (100.0%),SN (100.0%)
1103,HEWOMTR,TW (100.0%),
1104,HEWORTH,NT (100.0%),
1105,HEXHAM,NT (100.0%),GR (91.8%); WR (8.2%)
1106,HEYFORD,CH (3.41%); GW (96.59%),CH (13.92%); GW (3.58%); LS (0.26%); XC (82.25%)
1107,HFDN,GN (100.0%),GC (9.72%); GN (35.07%); HT (0.69%); LD (4.86%); TL (37.15%); ZZ (12.5%)
1108,HFLPEVL,LE (100.0%),
1109,HGHBRDG,GW (100.0%),GW (100.0%)
1110,HGHI,GN (100.0%),
1111,HGHMSPK,LO (100.0%),
1112,HGHNGTN,NT (100.0%),
1113,HIGHBYA,LO (100.0%),LO (100.0%)
1114,HIGM,SE (8.83%); TL (91.17%),SE (91.67%); TL (8.33%)
1115,HILLSID,ME (100.0%),
1116,HILSEA,SN (22.61%); SW (77.39%),SN (50.0%); SW (50.0%)
1117,HINCKLY,XC (100.0%),XC (98.57%); ZZ (1.43%)
1118,HINDLEY,NT (100.0%),NT (100.0%)
1119,HINTONA,SW (100.0%),SW (100.0%)
1120,HITCHIN,GN (3.37%); TL (96.63%),CS (0.44%); GC (7.12%); GN (28.23%); GR (53.91%); HT (4.92%); LD (3.63%); TL (1.51%); ZZ (0.25%)
1121,HITN,ME (100.0%),
1122,HITW,NT (100.0%),
1123,HKBG,SN (55.15%); TL (44.85%),SN (100.0%)
1124,HLDG,NT (100.0%),AW (25.09%); NT (14.7%); TP (58.99%); VT (0.61%); XC (0.61%)
1125,HLDNBRO,SE (100.0%),SE (100.0%)
1126,HLFT,SR (100.0%),SR (100.0%)
1127,HLFX,GC (6.24%); NT (93.76%),GC (90.48%); NT (9.52%)
1128,HLGN,LM (100.0%),LM (100.0%)
1129,HLMW,SN (100.0%),
1130,HLNGTNE,SR (100.0%),
1131,HLNGTNW,SR (100.0%),
1132,HLNSBRC,SR (100.0%),
1133,HLNSBRU,CS (25.77%); SR (74.23%),
1134,HLTWHST,NT (100.0%),GR (86.15%); NT (6.15%); WR (7.69%)
1135,HLYH,AW (100.0%),
1136,HMBLE,SN (1.92%); SW (98.08%),GW (36.36%); SW (63.64%)
1137,HMPDNPK,SN (100.0%),SN (100.0%)
1138,HMPHRYP,NT (100.0%),
1139,HMPSTDH,LO (100.0%),LO (86.96%); SO (0.62%); WR (1.24%); ZZ (11.18%)
1140,HMPTNIA,LM (100.0%),LM (22.22%); VT (52.78%); XC (25.0%)
1141,HMST,SN (100.0%),
1142,HMWTHY,SW (100.0%),
1143,HNCHLYW,SW (100.0%),
1144,HNDFRTH,NT (100.0%),AW (46.3%); NT (9.26%); VT (42.59%); ZZ (1.85%)
1145,HNDSHWT,CH (1.33%); LM (98.67%),
1146,HNGT,NT (100.0%),
1147,HNTL,SR (100.0%),ZZ (100.0%)
1148,HNTNGDN,GN (7.96%); TL (92.04%),CS (0.61%); GC (9.98%); GN (1.43%); GR (75.63%); HT (6.9%); LD (5.09%); ZZ (0.36%)
1149,HOCKLEY,LE (100.0%),LE (100.0%)
1150,HOLTONH,SW (100.0%),
1151,HOLYTWN,SR (100.0%),
1152,HOMRTON,LO (100.0%),LO (100.0%)
1153,HONITON,GW (1.93%); SW (98.07%),GW (80.0%); SW (20.0%)
1154,HONLEY,NT (100.0%),
1155,HONROPK,LO (78.93%); SN (21.07%),LO (18.49%); SN (24.52%); TL (56.99%)
1156,HONYBRN,GW (100.0%),GW (100.0%)
1157,HOOK,SW (100.0%),SW (100.0%)
1158,HOOTON,ME (100.0%),ME (100.0%)
1159,HOPC,AW (100.0%),
1160,HOPD,EM (5.0%); NT (95.0%),
1161,HOPTONH,AW (100.0%),
1162,HORD,NT (100.0%),
1163,HORLEY,SN (13.39%); TL (86.61%),GW (8.42%); GX (11.58%); SN (27.89%); TL (52.11%)
1164,HORSHAM,SN (99.92%); TL (0.08%),SN (100.0%)
1165,HORWICH,NT (100.0%),NT (12.5%); TP (87.5%)
1166,HOSCAR,NT (100.0%),
1167,HOUGHGR,EM (1.31%); NT (98.69%),EM (59.03%); NT (21.12%); TP (19.85%)
1168,HOUNSLW,SW (100.0%),SW (33.33%); WR (23.33%); ZZ (43.33%)
1169,HOVE,SN (99.02%); TL (0.98%),SN (98.25%); TL (1.75%)
1170,HOWDEN,HT (26.53%); NT (63.61%); TP (9.86%),NT (50.0%); TP (50.0%)
1171,HOWOOD,SR (100.0%),
1172,HOWWOOD,LM (100.0%),
1173,HOXTON,LO (100.0%),LO (100.0%)
1174,HOYLAKE,ME (100.0%),
1175,HRGY,GN (100.0%),CS (0.42%); GC (4.87%); GN (18.64%); GR (25.85%); HT (0.42%); LD (4.45%); TL (41.53%); ZZ (3.81%)
1176,HRGYGL,LO (100.0%),LO (100.0%)
1177,HRLC,AW (100.0%),
1178,HRLDWOD,XR (100.0%),LE (95.12%); XR (4.88%)
1179,HRLG,TL (100.0%),EM (49.08%); TL (46.7%); ZZ (4.22%)
1180,HRLNGRD,EM (21.88%); LE (78.12%),
1181,HRLWMIL,LE (100.0%),
1182,HRLWTWN,LE (100.0%),LE (100.0%)
1183,HRNBPK,NT (100.0%),
1184,HRNEBAY,SE (100.0%),SE (87.88%); ZZ (12.12%)
1185,HRNSY,GN (100.0%),CS (0.28%); GN (37.98%); GR (17.35%); HT (0.28%); LD (2.13%); TL (39.97%); ZZ (1.99%)
1186,HROW,LM (70.65%); SN (29.35%),CS (1.05%); LM (36.23%); LS (0.1%); VT (61.03%); WR (0.44%); ZZ (1.16%)
1187,HROWDC,LO (100.0%),LO (100.0%)
1188,HRPNDN,TL (100.0%),EM (95.74%); TL (4.26%)
1189,HRSLEY,SW (100.0%),
1190,HRSM,SE (100.0%),SE (100.0%)
1191,HRSTGRN,SN (96.96%); TL (3.04%),SN (47.22%); TL (52.78%)
1192,HRTLEPL,GC (26.09%); NT (73.91%),GR (100.0%)
1193,HRTW,SR (100.0%),
1194,HSFT,GR (16.89%); NT (83.11%),GR (70.27%); NT (29.73%)
1195,HTCHEND,LO (100.0%),LO (100.0%)
1196,HTCP,NT (100.0%),AW (26.12%); EM (7.46%); NT (30.6%); TP (9.7%); VT (17.16%); XC (8.21%); ZZ (0.75%)
1197,HTFLASF,NT (95.86%); TP (4.14%),GR (1.95%); HT (0.16%); NT (52.28%); TP (43.33%); ZZ (2.28%)
1198,HTHRGRN,SE (100.0%),SE (99.89%); ZZ (0.11%)
1199,HTNCRNS,NT (100.0%),NT (100.0%)
1200,HTNRIBL,NT (100.0%),LS (33.33%); NT (50.0%); WR (16.67%)
1201,HTRBUS2,GW (100.0%),
1202,HTRBUS3,GW (100.0%),
1203,HTRBUS5,GW (100.0%),
1204,HTRWAPT,XR (100.0%),XR (100.0%)
1205,HUCKNAL,EM (100.0%),
1206,HULL,HT (6.83%); NT (93.17%),
1207,HUNCOAT,NT (100.0%),
1208,HUNGRFD,GW (100.0%),GW (100.0%)
1209,HUNMNBY,NT (100.0%),NT (100.0%)
1210,HUNTSX,EM (5.52%); NT (94.48%),EM (38.03%); NT (48.24%); TP (13.73%)
1211,HUYTON,NT (100.0%),EM (2.82%); NT (8.22%); TP (88.96%)
1212,HWKHEAD,SR (100.0%),
1213,HWYCOMB,CH (100.0%),CH (100.0%)
1214,HYDB,NT (100.0%),GR (15.18%); LS (0.54%); NT (82.93%); WR (1.36%)
1215,HYDEC,NT (100.0%),
1216,HYDEN,NT (100.0%),
1217,HYDNSRD,TL (100.0%),
1218,HYKEHAM,EM (100.0%),
1219,HYNDLND,SR (100.0%),SR (100.0%)
1220,HYWRDSH,GX (2.8%); SN (45.99%); TL (51.21%),GX (73.45%); SN (18.25%); TL (8.0%); ZZ (0.3%)
1221,IFIELD,SN (6.64%); TL (93.36%),SN (100.0%)
1222,ILFORD,XR (100.0%),CC (2.51%); LE (86.46%); LO (1.82%); SO (0.08%); XR (8.37%); ZZ (0.76%)
1223,ILKES,EM (21.9%); NT (78.1%),
1224,INCE,NT (100.0%),NT (100.0%)
1225,INEL,NT (100.0%),
1226,INGTSTN,LE (100.0%),
1227,INSCH,SR (100.0%),SR (45.71%); ZZ (54.29%)
1228,INVERKP,SR (100.0%),
1229,INVGWRE,SR (100.0%),
1230,INVRSHN,SR (100.0%),SR (100.0%)
1231,INVURIE,SR (100.0%),ZZ (100.0%)
1232,IPSWICH,LE (100.0%),LE (100.0%)
1233,IRLAM,EM (0.86%); NT (99.14%),
1234,IRVN,SR (100.0%),SR (72.28%); ZZ (27.72%)
1235,ISLEWTH,SW (100.0%),
1236,ISLIP,CH (100.0%),
1237,IVER,GW (3.24%); XR (96.76%),GW (87.67%); HX (0.68%); XR (4.11%); ZZ (7.53%)
1238,IVRGRD,SR (100.0%),
1239,IVRKTHG,CS (2.59%); GR (7.65%); SR (89.76%),SR (60.79%); XC (23.33%); ZZ (15.88%)
1240,IVRNESS,SR (100.0%),
1241,IVYBDGE,GW (100.0%),GW (60.46%); WR (0.34%); XC (38.61%); ZZ (0.59%)
1242,JAMCOK,NT (100.0%),
1243,JAMESST,ME (100.0%),ME (100.0%)
1244,JHNSTND,AW (100.0%),
1245,JOHNSTN,SR (100.0%),SR (100.0%)
1246,JORDANH,SR (100.0%),SR (100.0%)
1247,KCLD,CS (3.68%); GR (10.9%); SR (85.42%),SR (61.19%); XC (21.56%); ZZ (17.25%)
1248,KDRMNST,LM (99.63%); LS (0.37%),CH (45.86%); LM (29.83%); XC (24.31%)
1249,KEARSLY,NT (100.0%),
1250,KEIGHLY,GR (1.37%); NT (98.47%); WR (0.15%),GR (23.91%); LS (2.17%); NT (71.74%); WR (2.17%)
1251,KEITH,SR (100.0%),
1252,KELVEDN,LE (100.0%),
1253,KEMBLE,GW (99.45%); LS (0.55%),GW (100.0%)
1254,KEMSING,SE (100.0%),SE (100.0%)
1255,KENDAL,NT (100.0%),
1256,KENISHD,SR (100.0%),
1257,KENLSTN,LM (100.0%),
1258,KENNETT,LE (100.0%),LE (100.0%)
1259,KENOLYM,LO (81.96%); SN (18.04%),LO (69.11%); WR (12.36%); ZZ (18.53%)
1260,KENR,LO (100.0%),LO (97.18%); ZZ (2.82%)
1261,KENSLG,LO (30.65%); LT (69.35%),LO (5.8%); LT (94.2%)
1262,KENTHOS,SE (100.0%),SE (98.41%); TL (0.75%); ZZ (0.84%)
1263,KETR,EM (100.0%),EM (97.17%); ZZ (2.83%)
1264,KEWBDGE,SW (100.0%),
1265,KEWGRDN,LO (35.91%); LT (64.09%),LO (7.14%); LT (92.86%)
1266,KEYHAM,GW (100.0%),GW (100.0%)
1267,KEYNSCH,GW (100.0%),
1268,KEYNSHM,GW (100.0%),GW (100.0%)
1269,KGHN,SR (100.0%),
1270,KGPK,SR (100.0%),
1271,KGSTON,SW (100.0%),SW (95.45%); ZZ (4.55%)
1272,KGUSSIE,CS (11.71%); GR (9.37%); SR (78.92%),ZZ (100.0%)
1273,KGWD,SN (100.0%),SN (100.0%)
1274,KIDBROK,SE (100.0%),SE (100.0%)
1275,KIDSGRV,EM (26.42%); LM (37.32%); NT (36.26%),NT (5.14%); VT (56.27%); WR (0.21%); XC (38.28%); ZZ (0.1%)
1276,KIDWELY,AW (91.6%); GW (8.4%),AW (89.72%); GW (10.28%)
1277,KILDONN,SR (100.0%),
1278,KILGETY,AW (100.0%),
1279,KILMRNK,LS (1.89%); SR (98.11%),VT (100.0%)
1280,KILWNNG,SR (100.0%),SR (48.15%); ZZ (51.85%)
1281,KINBRAC,SR (100.0%),SR (100.0%)
1282,KINGHAM,GW (100.0%),
1283,KINSSTN,CH (47.76%); GW (52.24%),
1284,KINTORE,SR (100.0%),
1285,KIRBYX,LE (100.0%),
1286,KIRKHAM,NT (100.0%),NT (87.37%); VT (12.63%)
1287,KKSNDAL,NT (97.77%); TP (2.23%),GR (21.43%); NT (23.81%); TP (50.0%); ZZ (4.76%)
1288,KLBRNHR,LO (100.0%),LO (100.0%)
1289,KLDL,NT (100.0%),
1290,KLGL,LM (100.0%),CS (8.33%); LM (25.42%); SN (0.83%); VT (65.42%)
1291,KLMAURS,SR (100.0%),
1292,KLPTRCK,SR (100.0%),
1293,KMPSTNH,LM (100.0%),
1294,KMPTNPK,SW (100.0%),
1295,KMSLY,SE (100.0%),SE (100.0%)
1296,KNCKHLT,SE (100.0%),SE (98.85%); ZZ (1.15%)
1297,KNEBWTH,GN (0.27%); TL (99.73%),CS (0.81%); GN (17.89%); GR (29.67%); HT (0.81%); LD (3.25%); TL (46.75%); ZZ (0.81%)
1298,KNGW,SR (100.0%),
1299,KNGX,GN (66.67%); TL (33.33%),
1300,KNIGHTN,AW (100.0%),
1301,KNLY,SN (100.0%),SN (100.0%)
1302,KNLYBUS,SN (100.0%),
1303,KNORTON,LM (100.0%),LM (36.79%); WR (0.09%); XC (62.71%); ZZ (0.41%)
1304,KNRSBGH,NT (100.0%),
1305,KNTBRY,GW (100.0%),GW (100.0%)
1306,KNTNGLY,NT (100.0%),
1307,KNTSHTN,TL (100.0%),EM (47.91%); TL (52.09%)
1308,KNTSHTW,LO (100.0%),LO (95.12%); ZZ (4.88%)
1309,KNUCKLS,AW (100.0%),
1310,KNUTSFD,NT (100.0%),
1311,KNYMPTN,GW (100.0%),
1312,KRKBYIF,NT (100.0%),
1313,KRKC,LS (2.44%); SR (97.56%),LS (14.29%); VT (85.71%)
1314,KRKDALE,ME (100.0%),ME (100.0%)
1315,KRKH,SR (100.0%),
1316,KRKNWTN,SR (100.0%),
1317,KRKSLFR,NT (100.0%),
1318,KRKWOOD,SR (100.0%),
1319,KRKYCEN,EM (100.0%),EM (52.63%); ZZ (47.37%)
1320,KSNY,SE (100.0%),SE (100.0%)
1321,KSTP,NT (100.0%),LS (40.0%); WR (60.0%)
1322,KTBK,NT (100.0%),
1323,KTON,LO (46.14%); LT (53.86%),LO (7.83%); LT (92.17%)
1324,KVTNBDG,NT (100.0%),
1325,KVTNPK,NT (100.0%),NT (100.0%)
1326,KYLEAKN,SR (100.0%),
1327,LADYBNK,SR (100.0%),CS (7.32%); GR (21.67%); SR (47.29%); XC (14.35%); ZZ (9.37%)
1328,LAINDON,CC (100.0%),CC (97.47%); WR (0.46%); ZZ (2.07%)
1329,LAIRG,SR (100.0%),
1330,LAKEIOW,IL (100.0%),IL (100.0%)
1331,LAKNHTH,LE (100.0%),
1332,LAMBH,SR (100.0%),
1333,LAMPHEY,AW (100.0%),
1334,LANCSTR,NT (36.23%); TP (26.23%); VT (37.54%),CS (37.25%); LS (2.94%); NT (0.98%); TP (23.53%); VT (19.12%); WR (16.18%)
1335,LANDUDJ,AW (83.75%); VT (16.25%),AW (33.33%); VT (66.67%)
1336,LANFRFC,AW (100.0%),
1337,LANGLEY,GW (5.56%); XR (94.44%),GW (87.59%); HX (0.69%); XR (4.14%); ZZ (7.59%)
1338,LAPFORD,GW (100.0%),
1339,LAPWRTH,CH (64.96%); LM (35.04%),
1340,LARBERT,SR (100.0%),
1341,LARKHAL,SR (100.0%),
1342,LAWRNCH,GW (100.0%),GW (100.0%)
1343,LAYTON,NT (100.0%),
1344,LAZKRKO,NT (100.0%),LS (11.76%); NT (70.59%); WR (17.65%)
1345,LBDR,AW (100.0%),
1346,LBGHJN,TL (100.0%),SE (8.86%); TL (91.14%)
1347,LCEILOB,SR (100.0%),
1348,LCHALRT,SR (100.0%),
1349,LCHC,LM (100.0%),VT (7.19%); XC (91.37%); ZZ (1.44%)
1350,LCHESDE,SR (100.0%),
1351,LCHGLLY,SR (100.0%),
1352,LCHLCHR,SR (100.0%),
1353,LCHTTVL,LM (78.1%); VT (21.9%),CS (16.95%); VT (55.93%); XC (18.64%); ZZ (8.47%)
1354,LCHWNCH,SR (100.0%),SR (97.6%); ZZ (2.4%)
1355,LCKRBIE,TP (81.55%); VT (18.45%),CS (10.33%); TP (3.92%); VT (85.49%); WR (0.26%)
1356,LDBURY,GW (25.12%); LM (74.88%),GW (100.0%)
1357,LDLNGTN,LM (100.0%),
1358,LDYW,SE (100.0%),SE (100.0%)
1359,LEABDGE,LE (100.0%),
1360,LEAGRVE,TL (100.0%),EM (90.0%); TL (10.0%)
1361,LEAHALL,LM (100.0%),AW (23.0%); LM (31.0%); VT (29.0%); XC (17.0%)
1362,LEALHLM,NT (100.0%),
1363,LEASOWE,ME (100.0%),
1364,LEEDS,GR (9.15%); NT (25.47%); TP (50.99%); WR (0.11%); XC (14.3%),WR (33.33%); XC (33.33%); ZZ (33.33%)
1365,LEEE,SE (100.0%),SE (99.78%); ZZ (0.22%)
1366,LEGR,NT (62.41%); TP (37.59%),EM (30.0%); NT (70.0%)
1367,LEIGBUS,SN (100.0%),
1368,LEIGHK,SN (100.0%),
1369,LELANT,GW (100.0%),
1370,LELANTS,GW (100.0%),
1371,LENHAM,SE (100.0%),SE (100.0%)
1372,LENZIE,SR (100.0%),SR (99.8%); ZZ (0.2%)
1373,LEOMNST,AW (100.0%),AW (99.14%); ZZ (0.86%)
1374,LESTER,EM (84.01%); XC (15.99%),EM (13.46%); XC (53.85%); ZZ (32.69%)
1375,LETHRHD,SN (48.61%); SW (51.39%),SN (35.79%); SW (64.21%)
1376,LEUCHRS,CS (5.01%); GR (14.83%); SR (80.16%),SR (10.26%); XC (62.82%); ZZ (26.92%)
1377,LEWES,SN (100.0%),SN (79.93%); TL (20.07%)
1378,LEWISHM,SE (100.0%),SE (96.76%); ZZ (3.24%)
1379,LEYLAND,NT (100.0%),
1380,LEYTNMR,LO (100.0%),LO (89.61%); WR (10.39%)
1381,LFPW,AW (100.0%),AW (59.79%); VT (40.21%)
1382,LGBK,SR (100.0%),
1383,LGFD,SE (100.0%),SE (100.0%)
1384,LGHO,NT (100.0%),LS (11.11%); NT (88.89%)
1385,LGML,EM (19.21%); NT (80.79%),EM (92.57%); NT (0.34%); WR (0.34%); ZZ (6.76%)
1386,LGRN,CH (1.19%); LM (98.81%),
1387,LGWITH,EM (100.0%),
1388,LGWOOD,LE (100.0%),LE (100.0%)
1389,LHONSEA,CC (100.0%),CC (93.25%); WR (1.93%); ZZ (4.82%)
1390,LHVN,SN (11.13%); TL (88.87%),SN (100.0%)
1391,LIMHSE,CC (100.0%),CC (100.0%)
1392,LINCLNC,EM (100.0%),EM (100.0%)
1393,LINGFLD,SN (95.42%); TL (4.58%),
1394,LIPHOOK,SW (100.0%),SW (100.0%)
1395,LISKARD,GW (95.03%); XC (4.97%),GW (86.21%); ZZ (13.79%)
1396,LISS,SW (100.0%),SW (100.0%)
1397,LITLBRO,NT (100.0%),NT (79.45%); TP (20.3%); WR (0.25%)
1398,LIVST,LE (100.0%),
1399,LIVSTLL,XR (100.0%),XR (100.0%)
1400,LKWD,NT (100.0%),
1401,LLANDAF,AW (100.0%),AW (100.0%)
1402,LLBRDCH,AW (100.0%),
1403,LLBSTRD,AW (100.0%),
1404,LLDEILO,AW (100.0%),
1405,LLDODW,AW (100.0%),
1406,LLDVERY,AW (100.0%),
1407,LLDYBIE,AW (100.0%),
1408,LLGADOG,AW (100.0%),
1409,LLGMMRW,AW (100.0%),
1410,LLGNNCH,AW (100.0%),
1411,LLGUNLO,AW (100.0%),
1412,LLHARAN,AW (100.0%),
1413,LLHLETH,AW (100.0%),AW (100.0%)
1414,LLISHEN,AW (100.0%),AW (100.0%)
1415,LLNLLI,AW (94.13%); GW (5.87%),AW (11.43%); GW (88.57%)
1416,LLNSMLT,AW (100.0%),AW (26.47%); GW (73.53%)
1417,LLNWTMR,AW (100.0%),AW (66.67%); LS (33.33%)
1418,LLWRDA,AW (100.0%),
1419,LLWRTYW,AW (100.0%),
1420,LLWYNYP,AW (100.0%),
1421,LMNGTNS,CH (63.4%); XC (36.6%),CH (60.0%); LS (5.0%); XC (35.0%)
1422,LNAB,AW (100.0%),
1423,LNCG,SN (98.89%); TL (1.11%),SN (100.0%)
1424,LNDC,AW (100.0%),
1425,LNDNBDC,TL (100.0%),
1426,LNDNBDE,SE (73.34%); TL (26.66%),SE (75.5%); TL (24.5%)
1427,LNDW,AW (100.0%),
1428,LNDYW,LM (100.0%),
1429,LNGBKBY,LM (100.0%),CS (2.32%); LM (15.06%); LS (1.93%); VT (38.61%); WR (11.58%); ZZ (30.5%)
1430,LNGCROS,SW (100.0%),SW (100.0%)
1431,LNGEATN,EM (67.3%); XC (32.7%),EM (90.48%); XC (9.52%)
1432,LNGNDRY,SR (100.0%),
1433,LNGP,EM (20.72%); LM (74.47%); NT (4.8%),NT (31.82%); XC (68.18%)
1434,LNLTHGW,SR (100.0%),CS (9.23%); GR (17.71%); SR (67.71%); VT (3.87%); WR (0.74%); ZZ (0.74%)
1435,LNRWST,AW (100.0%),
1436,LNSD,SR (100.0%),
1437,LNTN,EM (100.0%),EM (100.0%)
1438,LOCHAWE,SR (100.0%),
1439,LOGHBRO,EM (100.0%),EM (89.31%); XC (6.72%); ZZ (3.97%)
1440,LONB,LM (100.0%),LM (36.62%); WR (0.09%); XC (62.74%); ZZ (0.54%)
1441,LONFLDS,LO (100.0%),LE (69.33%); LO (30.67%)
1442,LONGBCK,NT (100.0%),
1443,LOSTCKP,NT (100.0%),
1444,LOWDHAM,EM (100.0%),EM (100.0%)
1445,LOWMOOR,GC (14.21%); NT (85.79%),
1446,LPRESTN,NT (100.0%),
1447,LRDGFD,SW (100.0%),
1448,LRNCKRK,SR (100.0%),CS (5.69%); GR (16.86%); SR (64.35%); XC (9.11%); ZZ (3.99%)
1449,LSTG,NT (100.0%),
1450,LSTH,NT (100.0%),NT (100.0%)
1451,LSTWTHL,GW (98.49%); XC (1.51%),GW (88.03%); XC (11.11%); ZZ (0.85%)
1452,LSYDNHM,SE (100.0%),SE (100.0%)
1453,LTCE,GN (16.91%); TL (83.09%),GN (93.14%); TL (6.86%)
1454,LTHH,AW (100.0%),AW (100.0%)
1455,LTLHMPT,SN (98.18%); TL (1.82%),
1456,LTLKMBL,CH (100.0%),CH (100.0%)
1457,LTLPORT,GN (96.73%); LE (3.27%),GN (17.39%); LE (82.61%)
1458,LTLSUTN,ME (100.0%),
1459,LTNBZRD,LM (100.0%),
1460,LUDLOW,AW (100.0%),
1461,LUDO,AW (100.0%),
1462,LUTOAPY,EM (22.57%); TL (77.43%),EM (93.55%); TL (6.45%)
1463,LUTON,EM (28.21%); TL (71.79%),EM (97.85%); TL (0.7%); ZZ (1.44%)
1464,LUXULYN,GW (100.0%),
1465,LVHM,NT (100.0%),AW (26.12%); EM (7.46%); NT (30.6%); TP (9.7%); VT (17.16%); XC (8.21%); ZZ (0.75%)
1466,LVNSTNN,SR (100.0%),
1467,LVNSTNS,SR (100.0%),CS (36.36%); VT (6.06%); XC (28.79%); ZZ (28.79%)
1468,LVRPLCH,ME (100.0%),ME (100.0%)
1469,LVRPLCL,ME (100.0%),ME (100.0%)
1470,LVRPLSH,NT (18.18%); TP (81.82%),
1471,LVRPLSL,ME (100.0%),ME (100.0%)
1472,LVRPSPY,ME (100.0%),ME (100.0%)
1473,LWBY,NT (100.0%),
1474,LYDNEY,AW (68.82%); XC (31.18%),AW (4.44%); GW (5.76%); XC (63.49%); ZZ (26.32%)
1475,LYEE,CH (1.19%); LM (98.81%),
1476,LYMPSTC,GW (100.0%),
1477,LYMPSTN,GW (100.0%),
1478,LYNDHRD,SW (100.0%),SW (11.54%); XC (88.46%)
1479,LYNGRIL,AW (100.0%),
1480,LYTHAM,NT (100.0%),
1481,LYTNSHR,LO (100.0%),LO (100.0%)
1482,MACLSFD,NT (31.78%); VT (31.98%); XC (36.24%),NT (9.76%); VT (88.94%); WR (0.87%); ZZ (0.43%)
