,TIPLOC,TOC_New_x,TOC_New_y
59,AMBERGT,EM (100.0%),
60,AMERSHM,CH (100.0%),CH (100.0%)
61,AMLY,SN (100.0%),SN (100.0%)
62,AMMANFD,AW (100.0%),
63,ANCASTR,EM (100.0%),EM (100.0%)
64,ANDOVER,SW (100.0%),SW (40.74%); XC (7.41%); ZZ (51.85%)
65,ANERLEY,LO (68.12%); SN (31.88%),LO (13.78%); SN (23.28%); TL (62.95%)
66,ANGMRNG,SN (98.94%); TL (1.06%),SN (94.59%); TL (2.7%); ZZ (2.7%)
67,ANNAN,LS (0.93%); SR (99.07%),LS (14.29%); VT (85.71%)
68,ANSDELL,NT (100.0%),
69,ANSL,SR (100.0%),CS (38.76%); SR (58.14%); WR (3.1%)
70,APBY,NT (100.0%),LS (50.0%); WR (50.0%)
71,APDR,SN (100.0%),
72,APERLYB,NT (100.0%),
73,APLYBDG,NT (100.0%),
74,APPLEFD,GW (100.0%),GW (100.0%)
75,APSLEY,LM (100.0%),CS (8.33%); LM (25.42%); SN (0.83%); VT (65.42%)
76,ARBROTH,CS (5.69%); GR (16.86%); SR (72.89%); XC (4.56%),SR (23.47%); XC (40.82%); ZZ (35.71%)
77,ARCHRAT,CS (25.77%); SR (74.23%),
78,ARDGAY,SR (100.0%),
79,ARDLUI,CS (25.25%); SR (72.73%); WR (2.02%),
80,ARDRSSB,SR (100.0%),SR (100.0%)
81,ARDRSTN,SR (100.0%),SR (100.0%)
82,ARDWICK,NT (100.0%),NT (60.42%); TP (39.58%)
83,ARGYLST,SR (100.0%),
84,ARISAIG,SR (100.0%),
85,ARLSEY,GN (0.35%); TL (99.65%),CS (2.22%); GR (81.11%); HT (2.22%); LD (8.89%); TL (3.33%); ZZ (2.22%)
86,ARMDALE,SR (100.0%),
87,ARMTHWT,NT (100.0%),
88,ARNSIDE,NT (100.0%),LS (5.13%); NT (94.87%)
89,ARRAM,NT (100.0%),NT (100.0%)
90,ARUNDEL,SN (100.0%),SN (100.0%)
91,ASCOT,SW (100.0%),SW (94.12%); ZZ (5.88%)
92,ASCTUWD,GW (100.0%),GW (100.0%)
93,ASFDMSX,SW (100.0%),SW (100.0%)
94,ASFIELD,SR (100.0%),
95,ASHBRYS,NT (100.0%),EM (0.97%); NT (44.71%); TP (54.32%)
96,ASHCHRC,GW (70.4%); XC (29.6%),GW (3.95%); LS (0.3%); WR (0.15%); XC (94.71%); ZZ (0.89%)
97,ASHD,SN (48.3%); SW (51.7%),SN (43.75%); SW (56.25%)
98,ASHFKY,SE (99.53%); ZZ (0.47%),ZZ (100.0%)
99,ASHH,GW (40.35%); SW (59.65%),GW (86.38%); SW (8.08%); WR (0.6%); XC (4.94%)
100,ASHLEY,NT (100.0%),
101,ASHONUL,NT (100.0%),TP (95.83%); WR (4.17%)
102,ASHURST,SN (100.0%),
103,ASHVALE,SW (100.0%),SW (92.73%); ZZ (7.27%)
104,ASHWELC,GN (6.7%); TL (93.3%),GN (44.07%); TL (55.93%)
105,ASKAM,NT (100.0%),NT (100.0%)
106,ASLCKTN,EM (100.0%),
107,ASPLEYG,LM (100.0%),
108,ASPTRIA,NT (100.0%),
109,ASTON,LM (100.0%),AW (5.31%); LM (61.13%); VT (2.05%); WR (0.34%); XC (30.31%); ZZ (0.86%)
110,ATADALE,SR (100.0%),
111,ATHERTN,NT (100.0%),
112,ATHRSTN,LM (100.0%),CS (21.74%); VT (69.57%); ZZ (8.7%)
113,ATNBRO,EM (91.24%); XC (8.76%),
114,ATTLBON,EM (14.62%); LE (85.38%),EM (98.33%); LE (1.67%)
115,ATTRCLI,SJ (100.0%),
116,AUDLEYE,LE (99.31%); XC (0.69%),LE (27.38%); XC (72.62%)
117,AVIEMRE,CS (11.29%); GR (9.03%); SR (79.68%),SR (80.0%); ZZ (20.0%)
118,AVNCLFF,GW (100.0%),GW (100.0%)
119,AVONMTH,GW (100.0%),
120,AXMNSTR,SW (100.0%),GW (87.1%); SW (12.9%)
121,AYLESFD,SE (100.0%),
122,AYLSBRY,CH (100.0%),
123,AYRR,SR (100.0%),SR (100.0%)
124,BACHE,ME (100.0%),
125,BAGE,NT (98.64%); TP (1.36%),AW (20.5%); NT (34.16%); TP (45.34%)
126,BAGSHOT,SW (100.0%),SW (100.0%)
127,BAILDON,NT (100.0%),
128,BALCOMB,SN (5.24%); TL (94.76%),GX (11.6%); SN (36.46%); TL (51.93%)
129,BALDOCK,GN (5.58%); TL (94.42%),GN (56.41%); TL (43.59%)
130,BALHAM,SN (100.0%),GX (14.43%); SE (0.61%); SN (84.56%); ZZ (0.4%)
131,BALISTN,SR (100.0%),
132,BALLOCH,SR (100.0%),
133,BALMOSS,SR (100.0%),
134,BAMFORD,EM (5.12%); NT (94.88%),EM (45.21%); NT (3.71%); TP (51.08%)
135,BANAVIE,SR (100.0%),WR (95.24%); ZZ (4.76%)
136,BANGOR,AW (76.01%); VT (23.99%),AW (60.0%); VT (40.0%)
137,BANSTED,SN (100.0%),SN (100.0%)
138,BARASIE,SR (100.0%),
139,BARELA,NT (100.0%),
140,BARGOED,AW (100.0%),
141,BARKING,CC (99.92%); WR (0.08%),CC (99.44%); ZZ (0.56%)
142,BARLSOP,LM (100.0%),
143,BARMING,SE (100.0%),SE (100.0%)
144,BARNES,SW (100.0%),SW (98.68%); WR (0.18%); ZZ (1.14%)
145,BAROW,NT (100.0%),LS (100.0%)
