,TIPLOC,TOC_New
548,CNTY,SR (100.0%)
549,COATBDC,SR (100.0%)
550,COATBDS,SR (100.0%)
551,COATDYK,SR (100.0%)
552,CODNBCH,SN (100.0%)
553,CODSALL,AW (2.88%); LM (97.12%)
554,COGAN,AW (100.0%)
555,COKSBDG,SN (100.0%)
556,COLESHL,XC (100.0%)
557,COLSDNS,SN (45.33%); TL (54.67%)
558,COLSTWN,SN (100.0%)
559,COMBE,GW (100.0%)
560,COMONDL,NT (100.0%)
561,CONBRGH,NT (100.0%)
562,CONGLTN,NT (100.0%)
563,CONNELF,SR (100.0%)
564,CONONBR,SR (100.0%)
565,CONONLY,NT (100.0%)
566,CONWY,AW (100.0%)
567,COOKHAM,GW (100.0%)
568,COOMBE,GW (100.0%)
569,COPLSTN,GW (100.0%)
570,CORBY,EM (100.0%)
571,CORPACH,SR (100.0%)
572,CORROUR,CS (38.17%); SR (61.83%)
573,COSELEY,LM (100.0%)
574,COSFORD,AW (3.24%); LM (96.76%)
575,COSHAM,GW (15.9%); SN (37.91%); SW (46.19%)
576,COTNGLY,NT (6.94%); TP (93.06%)
577,COVAREN,LM (100.0%)
578,COVNTRY,LM (48.47%); VT (35.18%); XC (16.36%)
579,COWDEN,SN (100.0%)
580,CPNHRST,ME (100.0%)
581,CRADLYH,CH (1.51%); LM (98.49%)
582,CRAVENA,AW (100.0%)
583,CRAWLEY,SN (50.1%); TL (49.9%)
584,CRBG,NT (100.0%)
585,CRCK,NT (100.0%)
586,CRDFCEN,AW (86.68%); GW (13.31%); XC (0.02%)
587,CREDITN,GW (100.0%)
588,CRESING,LE (100.0%)
589,CREWE,AW (15.99%); CS (1.19%); LM (19.0%); LS (0.06%); NT (0.03%); VT (62.65%); XC (1.07%)
590,CRFD,SE (100.0%)
591,CRGDRN,SR (100.0%)
592,CRHL,GN (100.0%)
593,CRICCTH,AW (100.0%)
594,CRKLWD,TL (100.0%)
595,CRKRN,SW (100.0%)
596,CRLK,SR (100.0%)
597,CRLN,SE (72.26%); TL (27.74%)
598,CRMLNGT,NT (94.29%); TP (5.71%)
599,CRNF,NT (100.0%)
600,CRNG,SE (100.0%)
601,CRNLRCH,CS (25.77%); SR (74.23%)
602,CROKSTN,SR (100.0%)
603,CROMFD,EM (100.0%)
604,CROSSHL,SR (100.0%)
605,CROT,NT (100.0%)
606,CROUCHH,LO (100.0%)
607,CROWLE,NT (88.28%); TP (11.72%)
608,CROY,SR (100.0%)
609,CRPHLY,AW (100.0%)
610,CRPNDPK,LO (100.0%)
611,CRSHLTB,SN (100.0%)
612,CRSHLTN,SN (67.91%); TL (32.09%)
613,CRSKEYS,AW (100.0%)
614,CRSMYLF,SR (100.0%)
615,CRSNGTN,ME (100.0%)
616,CRSTRS,CS (35.48%); SR (51.61%); TP (12.9%)
617,CRTN,EM (100.0%)
618,CRTSDYK,SR (100.0%)
619,CRWHRST,SE (100.0%)
620,CRWLL,EM (100.0%)
621,CRWTHRN,GW (100.0%)
622,CRYSTLP,SN (100.0%)
623,CSEAH,LO (81.96%); SN (18.04%)
624,CSFD,SW (100.0%)
